规则ID,前项商品(A),后项商品(B),支持度,置信度,提升度,陈列建议
1,牛奶,面包,0.085,0.623,2.84,早餐组合，建议相邻陈列+组合促销
2,火锅底料,丸子,0.052,0.712,3.15,火锅场景，建议设置火锅专区
3,火锅底料,肥牛卷,0.048,0.658,2.92,火锅场景，与丸子组合陈列
4,蛋糕粉,黄油,0.032,0.587,2.21,烘焙场景，建议设置烘焙专区
5,蛋糕粉,淡奶油,0.028,0.534,2.05,烘焙场景，与黄油组合
6,洗衣液,纸巾,0.065,0.498,1.87,日用品组合，建议关联陈列
7,洗衣液,垃圾袋,0.045,0.452,1.72,日用品组合
8,西红柿,鸡蛋,0.078,0.589,2.45,家常菜组合，建议生鲜区关联陈列
9,西红柿,黄瓜,0.062,0.523,2.18,蔬菜组合
10,大米,食用油,0.055,0.478,1.95,粮油组合，建议粮油区关联陈列
11,大米,酱油,0.042,0.412,1.68,粮油调味组合
12,可乐,薯片,0.058,0.567,2.34,零食饮料组合，建议休闲食品区关联陈列
13,可乐,饼干,0.045,0.498,2.05,零食饮料组合
14,排骨,胡萝卜,0.035,0.512,2.12,煲汤组合，建议生鲜区关联陈列
15,排骨,土豆,0.032,0.478,1.98,煲汤组合
16,洗发水,沐浴露,0.048,0.523,2.16,洗护组合，建议日化区关联陈列
17,洗发水,牙膏,0.038,0.445,1.84,洗护组合
18,苹果,香蕉,0.072,0.556,2.28,水果组合，建议水果区关联陈列
19,苹果,橙子,0.058,0.498,2.04,水果组合
20,鸡蛋,黄瓜,0.045,0.423,1.76,家常菜组合
