品类ID,品类名称,月份,销量(件),销售额(元),毛利额(元),库存周转天数,坪效(元/㎡/月),缺货次数,SKU数量
C001,生鲜蔬果,2025-10,16987,143123,25182,11,1307,2,452
C001,生鲜蔬果,2025-11,9048,137284,23549,10,1369,0,394
C001,生鲜蔬果,2025-12,10379,179196,31353,12,1594,0,445
C001,生鲜蔬果,2026-01,12050,166104,28868,13,1777,0,386
C001,生鲜蔬果,2026-02,7687,140394,26047,12,1383,2,409
C001,生鲜蔬果,2026-03,6259,138342,25196,13,1341,2,381
C001,生鲜蔬果,2026-04,10364,133904,23089,11,1593,0,431
C001,生鲜蔬果,2026-05,10062,143820,25135,11,1224,1,429
C001,生鲜蔬果,2026-06,6633,135286,23531,11,1131,1,424
C001,生鲜蔬果,2026-07,6971,155666,28793,11,1915,0,400
C001,生鲜蔬果,2026-08,5890,141537,26435,11,1332,1,454
C001,生鲜蔬果,2026-09,11457,143250,25131,12,1582,1,453
C002,肉禽蛋品,2025-10,7550,88551,20450,18,1058,0,248
C002,肉禽蛋品,2025-11,4492,96426,21048,15,1012,2,271
C002,肉禽蛋品,2025-12,5345,120979,25315,19,1127,1,257
C002,肉禽蛋品,2026-01,10694,105834,23131,17,895,2,257
C002,肉禽蛋品,2026-02,7747,85508,19587,20,930,1,275
C002,肉禽蛋品,2026-03,3973,83300,18398,19,823,0,260
C002,肉禽蛋品,2026-04,3491,83080,18969,19,900,0,290
C002,肉禽蛋品,2026-05,10708,101257,22245,15,916,2,249
C002,肉禽蛋品,2026-06,5271,91436,19643,20,943,0,272
C002,肉禽蛋品,2026-07,8824,100775,21753,20,950,1,270
C002,肉禽蛋品,2026-08,7581,89615,19396,18,1004,0,246
C002,肉禽蛋品,2026-09,7958,94644,21665,19,1142,0,279
C003,粮油调味,2025-10,6982,71570,11203,25,723,2,238
C003,粮油调味,2025-11,7758,74849,11149,24,758,2,232
C003,粮油调味,2025-12,10442,101012,15004,23,882,0,211
C003,粮油调味,2026-01,5638,85540,12546,23,731,1,241
C003,粮油调味,2026-02,8106,71823,11311,27,604,2,240
C003,粮油调味,2026-03,4279,69575,10137,24,844,1,246
C003,粮油调味,2026-04,3384,72182,10778,24,610,2,227
C003,粮油调味,2026-05,7665,81501,11976,28,789,1,236
C003,粮油调味,2026-06,3964,71079,10664,27,823,2,206
C003,粮油调味,2026-07,4246,76928,11741,23,907,2,213
C003,粮油调味,2026-08,4355,80702,12007,25,799,2,211
C003,粮油调味,2026-09,6628,79922,11863,26,868,0,236
C004,食品饮料,2025-10,5014,79186,20783,40,954,1,243
C004,食品饮料,2025-11,4153,95436,24763,33,1105,6,265
C004,食品饮料,2025-12,4363,108148,27453,29,959,2,263
C004,食品饮料,2026-01,10173,104614,25147,30,1024,2,260
C004,食品饮料,2026-02,7290,83561,21170,32,839,7,272
C004,食品饮料,2026-03,5122,77866,19031,29,702,5,242
C004,食品饮料,2026-04,5079,88280,21910,29,1063,7,275
C004,食品饮料,2026-05,4051,89901,22660,31,1056,2,275
C004,食品饮料,2026-06,4012,90807,23607,31,1009,0,269
C004,食品饮料,2026-07,6536,97442,24654,31,831,6,279
C004,食品饮料,2026-08,4115,94580,22521,37,1013,7,270
C004,食品饮料,2026-09,4253,92649,22622,38,1098,6,273
C005,日化清洁,2025-10,2183,47779,9517,42,427,1,135
C005,日化清洁,2025-11,3676,49922,10348,51,547,5,146
C005,日化清洁,2025-12,3932,67311,14053,39,566,1,163
C005,日化清洁,2026-01,5622,55342,10995,48,597,4,150
C005,日化清洁,2026-02,2619,46627,9096,47,582,7,151
C005,日化清洁,2026-03,2460,50720,10317,43,612,5,144
C005,日化清洁,2026-04,2164,48511,9915,42,525,3,147
C005,日化清洁,2026-05,4996,50783,10075,50,474,7,153
C005,日化清洁,2026-06,2851,49375,9381,42,507,4,154
C005,日化清洁,2026-07,3460,53697,10431,44,462,6,140
C005,日化清洁,2026-08,2951,49479,10027,42,438,6,155
C005,日化清洁,2026-09,4324,49231,9377,41,497,6,137
C006,家居用品,2025-10,1845,34520,9370,63,345,1,108
C006,家居用品,2025-11,1629,33842,9731,52,348,1,114
C006,家居用品,2025-12,4955,43875,11976,66,446,6,108
C006,家居用品,2026-01,2394,43392,12696,67,415,5,105
C006,家居用品,2026-02,2021,35008,10191,64,353,2,99
C006,家居用品,2026-03,1667,35055,9836,62,385,0,100
C006,家居用品,2026-04,2509,33721,9479,53,377,5,109
C006,家居用品,2026-05,2289,34187,9613,58,387,3,113
C006,家居用品,2026-06,1825,36180,10491,64,379,0,101
C006,家居用品,2026-07,1747,39333,11512,58,357,4,107
C006,家居用品,2026-08,3021,35441,9859,51,379,5,102
C006,家居用品,2026-09,2139,34117,9197,62,420,3,106
C007,纺织服装,2025-10,1220,23108,7793,88,281,3,70
C007,纺织服装,2025-11,1218,25522,8824,96,225,2,68
C007,纺织服装,2025-12,1680,28846,10600,85,272,6,77
C007,纺织服装,2026-01,1239,29919,10156,77,347,1,77
C007,纺织服装,2026-02,2049,23993,8565,97,276,4,78
C007,纺织服装,2026-03,1048,22988,8419,79,283,2,77
C007,纺织服装,2026-04,1819,26832,9593,78,249,5,69
C007,纺织服装,2026-05,1219,27394,9684,79,229,6,72
C007,纺织服装,2026-06,1762,25207,8827,85,221,6,69
C007,纺织服装,2026-07,1541,28990,10480,95,297,5,81
C007,纺织服装,2026-08,1174,25525,8967,89,262,5,71
C007,纺织服装,2026-09,1229,27199,9126,100,303,3,76
