品类,周次,日期,历史销量(件),预测销量(件),预测下界(件),预测上界(件),数据类型
生鲜蔬果,1,2026-W01,7493,,,,历史数据
生鲜蔬果,2,2026-W02,8248,,,,历史数据
生鲜蔬果,3,2026-W03,8958,,,,历史数据
生鲜蔬果,4,2026-W04,9162,,,,历史数据
生鲜蔬果,5,2026-W05,8690,,,,历史数据
生鲜蔬果,6,2026-W06,8641,,,,历史数据
生鲜蔬果,7,2026-W07,9029,,,,历史数据
生鲜蔬果,8,2026-W08,8762,,,,历史数据
生鲜蔬果,9,2026-W09,7487,,,,历史数据
生鲜蔬果,10,2026-W10,8313,,,,历史数据
生鲜蔬果,11,2026-W11,7493,,,,历史数据
生鲜蔬果,12,2026-W12,7946,,,,历史数据
生鲜蔬果,13,2026-W13,,7889,6705,9072,预测数据
生鲜蔬果,14,2026-W14,,8290,7046,9533,预测数据
生鲜蔬果,15,2026-W15,,8977,7630,10323,预测数据
生鲜蔬果,16,2026-W16,,8798,7478,10117,预测数据
肉禽蛋品,1,2026-W01,5238,,,,历史数据
肉禽蛋品,2,2026-W02,5280,,,,历史数据
肉禽蛋品,3,2026-W03,5997,,,,历史数据
肉禽蛋品,4,2026-W04,5223,,,,历史数据
肉禽蛋品,5,2026-W05,5258,,,,历史数据
肉禽蛋品,6,2026-W06,5511,,,,历史数据
肉禽蛋品,7,2026-W07,5502,,,,历史数据
肉禽蛋品,8,2026-W08,5419,,,,历史数据
肉禽蛋品,9,2026-W09,5207,,,,历史数据
肉禽蛋品,10,2026-W10,5067,,,,历史数据
肉禽蛋品,11,2026-W11,5802,,,,历史数据
肉禽蛋品,12,2026-W12,5764,,,,历史数据
肉禽蛋品,13,2026-W13,,5411,4599,6222,预测数据
肉禽蛋品,14,2026-W14,,5016,4263,5768,预测数据
肉禽蛋品,15,2026-W15,,5411,4599,6222,预测数据
肉禽蛋品,16,2026-W16,,4986,4238,5733,预测数据
粮油调味,1,2026-W01,3697,,,,历史数据
粮油调味,2,2026-W02,3978,,,,历史数据
粮油调味,3,2026-W03,4073,,,,历史数据
粮油调味,4,2026-W04,3833,,,,历史数据
粮油调味,5,2026-W05,3847,,,,历史数据
粮油调味,6,2026-W06,4052,,,,历史数据
粮油调味,7,2026-W07,4089,,,,历史数据
粮油调味,8,2026-W08,3582,,,,历史数据
粮油调味,9,2026-W09,3793,,,,历史数据
粮油调味,10,2026-W10,4076,,,,历史数据
粮油调味,11,2026-W11,3645,,,,历史数据
粮油调味,12,2026-W12,4196,,,,历史数据
粮油调味,13,2026-W13,,4268,3627,4908,预测数据
粮油调味,14,2026-W14,,3683,3130,4235,预测数据
粮油调味,15,2026-W15,,4133,3513,4752,预测数据
粮油调味,16,2026-W16,,4117,3499,4734,预测数据
食品饮料,1,2026-W01,5808,,,,历史数据
食品饮料,2,2026-W02,5630,,,,历史数据
食品饮料,3,2026-W03,6097,,,,历史数据
食品饮料,4,2026-W04,6085,,,,历史数据
食品饮料,5,2026-W05,5146,,,,历史数据
食品饮料,6,2026-W06,6571,,,,历史数据
食品饮料,7,2026-W07,5176,,,,历史数据
食品饮料,8,2026-W08,6471,,,,历史数据
食品饮料,9,2026-W09,5131,,,,历史数据
食品饮料,10,2026-W10,5220,,,,历史数据
食品饮料,11,2026-W11,6380,,,,历史数据
食品饮料,12,2026-W12,5697,,,,历史数据
食品饮料,13,2026-W13,,5880,4998,6761,预测数据
食品饮料,14,2026-W14,,5747,4884,6609,预测数据
食品饮料,15,2026-W15,,5579,4742,6415,预测数据
食品饮料,16,2026-W16,,6663,5663,7662,预测数据
日化清洁,1,2026-W01,2587,,,,历史数据
日化清洁,2,2026-W02,2897,,,,历史数据
日化清洁,3,2026-W03,2324,,,,历史数据
日化清洁,4,2026-W04,2729,,,,历史数据
日化清洁,5,2026-W05,2165,,,,历史数据
日化清洁,6,2026-W06,2315,,,,历史数据
日化清洁,7,2026-W07,2349,,,,历史数据
日化清洁,8,2026-W08,2481,,,,历史数据
日化清洁,9,2026-W09,2690,,,,历史数据
日化清洁,10,2026-W10,2223,,,,历史数据
日化清洁,11,2026-W11,2682,,,,历史数据
日化清洁,12,2026-W12,2492,,,,历史数据
日化清洁,13,2026-W13,,2656,2257,3054,预测数据
日化清洁,14,2026-W14,,2602,2211,2992,预测数据
日化清洁,15,2026-W15,,2530,2150,2909,预测数据
日化清洁,16,2026-W16,,2396,2036,2755,预测数据
