交易号,商品编码,商品名称,品类,数量,交易日期,单价(元)
100001,SKU43862,大米,粮油调味,2,2026-07-11,30.32
100001,SKU88139,食用油,粮油调味,3,2026-07-11,24.53
100001,SKU77715,酱油,粮油调味,3,2026-07-11,45.8
100001,SKU63271,肥牛卷,火锅食材,2,2026-07-11,9.59
100002,SKU41890,肥牛卷,火锅食材,2,2026-08-18,34.14
100002,SKU58368,香草精,烘焙用品,3,2026-08-18,54.12
100002,SKU55056,土豆,生鲜蔬果,4,2026-08-18,45.62
100002,SKU82140,牛肉,肉禽蛋品,4,2026-08-18,79.74
100002,SKU69473,果汁,食品饮料,3,2026-08-18,30.09
100003,SKU34267,火锅底料,火锅食材,5,2026-05-10,76.22
100003,SKU73464,丸子,火锅食材,2,2026-05-10,19.66
100003,SKU78765,肥牛卷,火锅食材,3,2026-05-10,58.79
100003,SKU23176,醋,粮油调味,5,2026-05-10,24.79
100003,SKU57301,洗衣液,日化清洁,2,2026-05-10,25.81
100003,SKU80010,排骨,肉禽蛋品,2,2026-05-10,26.27
100004,SKU85243,牛奶,食品饮料,1,2026-03-09,70.2
100004,SKU67733,面包,食品饮料,3,2026-03-09,39.14
100004,SKU16734,果汁,食品饮料,3,2026-03-09,17.2
100004,SKU72616,鸡翅,肉禽蛋品,3,2026-03-09,75.46
100004,SKU62521,肥牛卷,火锅食材,1,2026-03-09,66.3
100005,SKU25525,带鱼,肉禽蛋品,1,2026-08-03,79.53
100005,SKU89471,矿泉水,食品饮料,5,2026-08-03,61.86
100006,SKU23006,糖粉,烘焙用品,5,2026-04-25,76.93
100006,SKU44687,矿泉水,食品饮料,2,2026-04-25,51.16
100006,SKU32782,蛋挞皮,烘焙用品,1,2026-04-25,15.09
100006,SKU10350,巧克力,食品饮料,5,2026-04-25,8.78
100006,SKU87832,葡萄,生鲜蔬果,4,2026-04-25,37.69
100007,SKU91927,西红柿,生鲜蔬果,2,2026-08-10,74.14
100007,SKU35928,鸡蛋,肉禽蛋品,5,2026-08-10,53.91
100007,SKU39466,黄瓜,生鲜蔬果,4,2026-08-10,11.84
100007,SKU28643,可乐,食品饮料,2,2026-08-10,72.95
100007,SKU50319,模具,烘焙用品,1,2026-08-10,7.59
100007,SKU84607,胡萝卜,生鲜蔬果,5,2026-08-10,60.67
100008,SKU20543,西红柿,生鲜蔬果,5,2026-05-15,41.02
100008,SKU66626,鸡蛋,肉禽蛋品,5,2026-05-15,6.07
100008,SKU13390,黄瓜,生鲜蔬果,3,2026-05-15,49.49
100008,SKU98381,黄油,烘焙用品,1,2026-05-15,20.63
100008,SKU12719,饼干,食品饮料,5,2026-05-15,48.21
100008,SKU32962,毛肚,火锅食材,3,2026-05-15,47.37
100009,SKU53687,酱油,粮油调味,4,2026-08-17,29.79
100009,SKU31079,芝士碎,烘焙用品,3,2026-08-17,54.6
100009,SKU74942,肥牛卷,火锅食材,3,2026-08-17,34.7
100009,SKU62488,牛肉,肉禽蛋品,3,2026-08-17,54.02
100010,SKU10150,面包,食品饮料,5,2026-09-02,66.52
100010,SKU17104,洗洁精,日化清洁,5,2026-09-02,38.57
100010,SKU91609,鸭蛋,肉禽蛋品,2,2026-09-02,42.92
100010,SKU16764,黄油,烘焙用品,4,2026-09-02,51.16
100011,SKU30758,糖粉,烘焙用品,5,2026-04-09,64.55
100011,SKU82384,肥牛卷,火锅食材,3,2026-04-09,45.41
100011,SKU24871,排骨,肉禽蛋品,4,2026-04-09,10.18
100011,SKU94896,白菜,生鲜蔬果,4,2026-04-09,75.92
100012,SKU82255,鸭血,火锅食材,4,2026-03-16,21.77
100012,SKU88561,饼干,食品饮料,2,2026-03-16,32.54
100012,SKU27892,酵母,烘焙用品,5,2026-03-16,60.46
100012,SKU64387,丸子,火锅食材,1,2026-03-16,24.27
100013,SKU96499,可乐,食品饮料,5,2026-06-26,47.65
100013,SKU68529,矿泉水,食品饮料,4,2026-06-26,69.63
100014,SKU41300,洗发水,日化清洁,2,2026-09-16,78.52
100014,SKU63841,沐浴露,日化清洁,5,2026-09-16,32.49
100014,SKU71993,牙膏,日化清洁,1,2026-09-16,27.5
100014,SKU96991,消毒液,日化清洁,4,2026-09-16,32.73
100014,SKU14852,模具,烘焙用品,2,2026-09-16,41.14
100014,SKU87356,洗洁精,日化清洁,2,2026-09-16,41.68
100015,SKU28894,排骨,肉禽蛋品,4,2026-06-28,4.18
100015,SKU30232,胡萝卜,生鲜蔬果,4,2026-06-28,70.06
100015,SKU44737,土豆,生鲜蔬果,1,2026-06-28,39.15
100015,SKU62098,豆腐,火锅食材,3,2026-06-28,50.99
